,value
lams1s1,0.0
lams1s2,37.24
lams2s1,0.0
lams2s2,56.87
lams2s3,56.83
cs1s1s1s2,-24.369999999999997
cs1s1s2s1,-0.0
cs1s1s2s2,-0.0
cs1s1s2s3,-0.0
cs1s2s2s1,-0.0
cs1s2s2s2,-0.0
cs1s2s2s3,-0.0
cs2s1s2s2,-148.33
cs2s1s2s3,-149.26000000000002
cs2s2s2s3,-90.87
xs1s1s1s2,-3.74
ss1s1s1s2,-0.63
xs1s2s1s1,-11.16
ss1s2s1s1,1.32
xs1s1s2s1,-0.0
ss1s1s2s1,-0.0
xs1s1s2s2,-0.0
ss1s1s2s2,-0.0
xs1s1s2s3,-0.0
ss1s1s2s3,-0.0
xs1s2s2s1,-0.0
ss1s2s2s1,-0.0
xs1s2s2s2,-0.0
ss1s2s2s2,-0.0
xs1s2s2s3,-0.0
ss1s2s2s3,-0.0
xs2s1s1s1,-0.0
ss2s1s1s1,-0.0
xs2s1s1s2,-0.0
ss2s1s1s2,-0.0
xs2s2s1s1,-0.0
ss2s2s1s1,-0.0
xs2s2s1s2,-0.0
ss2s2s1s2,-0.0
xs2s3s1s1,-0.0
ss2s3s1s1,-0.0
xs2s3s1s2,-0.0
ss2s3s1s2,-0.0
xs2s1s2s2,-0.8899999999999999
ss2s1s2s2,-1.04
xs2s1s2s3,-4.17
ss2s1s2s3,0.01999999999999999
xs2s2s2s1,-2.33
ss2s2s2s1,-0.11
xs2s2s2s3,-5.760000000000001
ss2s2s2s3,-0.64
xs2s3s2s1,3.71
ss2s3s2s1,-1.46
xs2s3s2s2,-7.01
ss2s3s2s2,-0.030000000000000027
